Crash ID,County,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,Weather Condition
12531902,Harris,Not Injured,30,Friday,29.7473848,-95.39098308,Clear
12531907,Harris,Non-Incapacitating Injury,1610,Friday,29.85096477,-95.27281311,Clear
12236003,Harris,Possible Injury,2020,Saturday,29.77884119,-95.4410952,Clear
12256251,Harris,Possible Injury,35,Saturday,29.93186238,-95.39531524,Clear
12301854,Harris,Incapacitating Injury,2020,Saturday,29.81710479,-95.48541306,Clear
12531921,Harris,Not Injured,1830,Saturday,29.78231588,-95.27002763,Clear
12235956,Harris,Non-Incapacitating Injury,430,Sunday,29.72705267,-95.45004161,Clear
12489521,Harris,Incapacitating Injury,525,Sunday,29.75378598,-95.29678212,Clear
12510076,Harris,Not Injured,240,Sunday,29.70134481,-95.29606311,Clear
12529203,Harris,Incapacitating Injury,750,Sunday,29.7286751,-95.53531378,Clear
12531926,Harris,Not Injured,2140,Sunday,29.75173571,-95.37639126,Clear
12683619,Harris,Not Injured,210,Sunday,29.76777479,-95.44785307,Clear
12864014,Harris,Not Injured,221,Sunday,29.77693517,-95.27222196,Clear
12237193,Harris,Not Injured,30,Monday,29.71811556,-95.5390551,Clear
12552345,Harris,Non-Incapacitating Injury,2012,Monday,29.74998923,-95.32066804,Clear
12588494,Harris,Possible Injury,325,Monday,29.84626882,-95.35950007,Clear
12237290,Harris,Not Injured,1245,Tuesday,29.72360294,-95.50117589,Clear
12412201,Harris,Not Injured,1301,Tuesday,29.91501477,-95.41249308,Cloudy
12234572,Harris,Possible Injury,20,Wednesday,29.78483939,-95.61756536,Clear
12234486,Harris,Not Injured,105,Thursday,29.74733772,-95.53764196,Clear
12234931,Harris,Not Injured,1135,Thursday,29.73435527,-95.39779995,Clear
12234928,Harris,Unknown,125,Friday,29.75205661,-95.38022523,Clear
12237785,Harris,Incapacitating Injury,2033,Friday,29.68193509,-95.29024389,Clear
12592068,Harris,Not Injured,5,Friday,29.62810264,-95.23416463,Clear
12660608,Harris,Non-Incapacitating Injury,2055,Friday,29.82880831,-95.42339684,Clear
12237438,Harris,Non-Incapacitating Injury,440,Saturday,29.79733774,-95.3513015,Clear
